05:37:03.304 : RiddlerController.RiddleForm.RiddleForm()-started
05:37:03.361 : RiddlerController.RiddleForm.RiddleForm()-ended
05:37:03.374 : RiddlerController.RiddleForm.extraInitializations()-started
05:37:03.374 : RiddlerController.RiddleForm.extraInitializations()-ended
05:37:03.375 : RiddlerController.RiddleOnlyLetter.setup_riddle()-started
05:37:03.375 : RiddlerController.RiddleOnlyLetter.setup_riddle()-ended
05:37:04.316 : RiddleController.Form1.activateRiddle()
05:37:04.318 : RiddleController.Form1.activateRiddle()-before rf.show()
05:37:04.383 : RiddleController.Form1.activateRiddle()-after rf.show()
05:37:04.384 : RiddlerController.RiddleOnlyLetter.display_riddle()-started
05:37:04.403 : RiddlerController.RiddleOnlyLetter.display_riddle()-ended
05:37:04.404 : After Run
05:40:26.694 : RiddlerController.RiddleForm.RiddleForm()-started
05:40:26.740 : RiddlerController.RiddleForm.RiddleForm()-ended
05:40:26.746 : RiddlerController.RiddleForm.extraInitializations()-started
05:40:26.746 : RiddlerController.RiddleForm.extraInitializations()-ended
05:40:26.747 : RiddlerController.RiddleOnlyLetter.setup_riddle()-started
05:40:26.747 : RiddlerController.RiddleOnlyLetter.setup_riddle()-ended
05:40:27.700 : RiddleController.Form1.activateRiddle()
05:40:27.701 : RiddleController.Form1.activateRiddle()-before rf.show()
05:40:27.747 : RiddlerController.RiddleOnlyLetter.RiddleOnlyLetter_Load()-started
05:40:27.763 : RiddleController.Form1.activateRiddle()-after rf.show()
05:40:27.764 : RiddlerController.RiddleOnlyLetter.display_riddle()-started
05:40:27.787 : RiddlerController.RiddleOnlyLetter.display_riddle()-ended
05:40:27.787 : After Run
05:44:53.045 : RiddlerController.RiddleForm.RiddleForm()-started
05:44:53.088 : RiddlerController.RiddleForm.RiddleForm()-ended
05:44:53.093 : RiddlerController.RiddleForm.extraInitializations()-started
05:44:53.093 : RiddlerController.RiddleForm.extraInitializations()-ended
05:44:54.056 : RiddleController.Form1.activateRiddle()
05:44:54.058 : RiddleController.Form1.activateRiddle()-before rf.show()
05:44:54.115 : RiddleController.Form1.activateRiddle()-after rf.show()
05:44:54.116 : After Run
05:45:12.903 : RiddlerController.RiddleForm.RiddleForm()-started
05:45:12.948 : RiddlerController.RiddleForm.RiddleForm()-ended
05:45:12.952 : RiddlerController.RiddleForm.extraInitializations()-started
05:45:12.953 : RiddlerController.RiddleForm.extraInitializations()-ended
05:45:13.913 : RiddleController.Form1.activateRiddle()
05:45:13.914 : RiddleController.Form1.activateRiddle()-before rf.show()
05:45:13.971 : RiddleController.Form1.activateRiddle()-after rf.show()
05:45:13.973 : After Run
05:45:52.137 : RiddlerController.RiddleForm.RiddleForm()-started
05:45:52.169 : RiddlerController.RiddleForm.RiddleForm()-ended
05:45:52.173 : RiddlerController.RiddleForm.extraInitializations()-started
05:45:52.173 : RiddlerController.RiddleForm.extraInitializations()-ended
05:45:52.174 : RiddlerController.RiddleForm.setup_riddle()-started
05:45:52.175 : RiddlerController.RiddleForm.setup_riddle()-ended
05:45:53.154 : RiddleController.Form1.activateRiddle()
05:45:53.156 : RiddleController.Form1.activateRiddle()-before rf.show()
05:45:53.203 : RiddleController.Form1.activateRiddle()-after rf.show()
05:45:53.204 : After Run
05:46:00.877 : RiddleForm_KeyDown(e.KeyCode=Z, e.KeyValue=90)
08:16:19.899 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:19.942 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:19.964 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:19.997 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:20.772 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:16:23.146 : RiddleForm_KeyDown(e.KeyCode=VolumeDown, e.KeyValue=174)
08:16:23.478 : RiddleForm_KeyDown(e.KeyCode=VolumeDown, e.KeyValue=174)
08:16:23.624 : RiddleForm_KeyDown(e.KeyCode=VolumeDown, e.KeyValue=174)
08:16:23.823 : RiddleForm_KeyDown(e.KeyCode=VolumeDown, e.KeyValue=174)
08:16:24.027 : RiddleForm_KeyDown(e.KeyCode=VolumeDown, e.KeyValue=174)
08:16:24.240 : RiddleForm_KeyDown(e.KeyCode=VolumeDown, e.KeyValue=174)
08:16:24.420 : RiddleForm_KeyDown(e.KeyCode=VolumeDown, e.KeyValue=174)
08:16:24.600 : RiddleForm_KeyDown(e.KeyCode=VolumeDown, e.KeyValue=174)
08:16:24.900 : RiddleForm_KeyDown(e.KeyCode=VolumeDown, e.KeyValue=174)
08:16:25.144 : RiddleForm_KeyDown(e.KeyCode=VolumeDown, e.KeyValue=174)
08:16:25.444 : RiddleForm_KeyDown(e.KeyCode=VolumeDown, e.KeyValue=174)
08:16:25.765 : RiddleForm_KeyDown(e.KeyCode=VolumeDown, e.KeyValue=174)
08:16:26.146 : RiddleForm_KeyDown(e.KeyCode=VolumeDown, e.KeyValue=174)
08:16:28.790 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:16:45.959 : RiddleForm_KeyDown(e.KeyCode=H, e.KeyValue=72)
08:16:48.990 : RiddleForm_KeyDown(e.KeyCode=P, e.KeyValue=80)
08:16:53.090 : RiddleForm_KeyDown(e.KeyCode=U, e.KeyValue=85)
08:16:56.667 : RiddleForm_KeyDown(e.KeyCode=R, e.KeyValue=82)
08:17:02.841 : After Run
08:19:06.365 : RiddleForm_KeyDown(e.KeyCode=A, e.KeyValue=65)
08:19:12.438 : After Run
08:21:16.207 : RiddleForm_KeyDown(e.KeyCode=T, e.KeyValue=84)
08:21:22.266 : After Run
08:23:33.764 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:23:39.843 : After Run
08:25:54.755 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:25:55.250 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:25:55.284 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:25:55.317 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:25:55.350 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:25:55.382 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:25:55.415 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:25:55.448 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:25:55.480 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:25:55.513 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:25:55.546 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:25:55.578 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:25:55.612 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:25:55.651 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:25:55.676 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:25:55.709 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:25:55.743 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:25:55.776 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:25:55.808 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:25:55.841 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:25:55.937 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:56.433 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:56.466 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:56.499 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:56.531 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:56.564 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:56.597 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:56.630 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:56.666 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:56.694 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:56.728 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:56.761 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:56.793 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:56.831 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:56.858 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:56.891 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:56.924 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:56.957 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:56.989 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:57.022 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:57.055 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:57.088 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:57.121 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:57.153 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:57.234 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:57.235 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:57.250 : RiddleForm_KeyDown(e.KeyCode=M, e.KeyValue=77)
08:25:57.270 : RiddleForm_KeyDown(e.KeyCode=N, e.KeyValue=78)
08:25:57.324 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:57.821 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:57.853 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:57.886 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:57.919 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:57.951 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:57.984 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:58.017 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:58.052 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:58.084 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:58.117 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:58.150 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:58.183 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:58.215 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:58.247 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:58.280 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:58.314 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:58.346 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:58.380 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:58.411 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:58.443 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:58.476 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:58.509 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:58.543 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:58.576 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:58.608 : RiddleForm_KeyDown(e.KeyCode=B, e.KeyValue=66)
08:25:58.619 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.114 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.146 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.180 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.261 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.262 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.276 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.309 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.342 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.374 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.408 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.440 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.472 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.505 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.538 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.571 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.604 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.636 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.670 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.703 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.736 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.775 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.801 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.834 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.867 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.899 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.932 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.966 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:25:59.999 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:26:00.031 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:26:00.064 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:26:00.096 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:26:00.129 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:26:00.162 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:26:00.195 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:26:00.226 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:26:00.260 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:26:00.292 : RiddleForm_KeyDown(e.KeyCode=V, e.KeyValue=86)
08:26:00.315 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:00.813 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:00.846 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:00.878 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:00.911 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:00.945 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:00.975 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:01.008 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:01.041 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:01.082 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:01.107 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:01.139 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:01.172 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:01.204 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:01.262 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:01.270 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:01.303 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:01.335 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:01.368 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:01.402 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:01.436 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:01.469 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:01.501 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:26:07.048 : RiddleForm_KeyDown(e.KeyCode=A, e.KeyValue=65)
08:26:09.194 : RiddleForm_KeyDown(e.KeyCode=P, e.KeyValue=80)
08:26:16.130 : RiddleForm_KeyDown(e.KeyCode=U, e.KeyValue=85)
08:26:19.641 : RiddleForm_KeyDown(e.KeyCode=Oem1, e.KeyValue=186)
08:26:20.136 : RiddleForm_KeyDown(e.KeyCode=Oem1, e.KeyValue=186)
08:26:20.170 : RiddleForm_KeyDown(e.KeyCode=Oem1, e.KeyValue=186)
08:26:22.672 : RiddleForm_KeyDown(e.KeyCode=Oem1, e.KeyValue=186)
08:26:49.785 : RiddleForm_KeyDown(e.KeyCode=L, e.KeyValue=76)
08:27:00.183 : RiddleForm_KeyDown(e.KeyCode=J, e.KeyValue=74)
08:27:00.539 : RiddleForm_KeyDown(e.KeyCode=I, e.KeyValue=73)
08:27:01.792 : RiddleForm_KeyDown(e.KeyCode=I, e.KeyValue=73)
08:27:08.334 : After Run
08:29:15.983 : RiddleForm_KeyDown(e.KeyCode=T, e.KeyValue=84)
08:29:20.315 : RiddleForm_KeyDown(e.KeyCode=Y, e.KeyValue=89)
08:29:22.617 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:29:28.756 : After Run
08:31:34.528 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:31:40.654 : After Run
08:33:51.721 : RiddleForm_KeyDown(e.KeyCode=A, e.KeyValue=65)
08:33:57.178 : RiddleForm_KeyDown(e.KeyCode=T, e.KeyValue=84)
08:34:00.235 : RiddleForm_KeyDown(e.KeyCode=R, e.KeyValue=82)
08:34:02.674 : RiddleForm_KeyDown(e.KeyCode=U, e.KeyValue=85)
08:34:05.271 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:34:07.811 : RiddleForm_KeyDown(e.KeyCode=H, e.KeyValue=72)
08:34:11.987 : RiddleForm_KeyDown(e.KeyCode=O, e.KeyValue=79)
08:34:18.573 : After Run
08:36:34.638 : RiddleForm_KeyDown(e.KeyCode=X, e.KeyValue=88)
08:36:36.338 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:36:38.824 : RiddleForm_KeyDown(e.KeyCode=U, e.KeyValue=85)
08:36:42.349 : RiddleForm_KeyDown(e.KeyCode=C, e.KeyValue=67)
08:36:51.992 : RiddleForm_KeyDown(e.KeyCode=X, e.KeyValue=88)
08:36:54.235 : RiddleForm_KeyDown(e.KeyCode=P, e.KeyValue=80)
08:36:56.422 : RiddleForm_KeyDown(e.KeyCode=U, e.KeyValue=85)
08:36:58.153 : RiddleForm_KeyDown(e.KeyCode=D, e.KeyValue=68)
08:37:04.261 : After Run
08:39:29.098 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:39:35.198 : After Run
08:41:47.387 : RiddleForm_KeyDown(e.KeyCode=A, e.KeyValue=65)
08:41:50.826 : RiddleForm_KeyDown(e.KeyCode=R, e.KeyValue=82)
08:41:54.954 : RiddleForm_KeyDown(e.KeyCode=U, e.KeyValue=85)
08:41:57.877 : RiddleForm_KeyDown(e.KeyCode=N, e.KeyValue=78)
08:41:58.685 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:41:59.549 : RiddleForm_KeyDown(e.KeyCode=Oemcomma, e.KeyValue=188)
08:42:01.676 : RiddleForm_KeyDown(e.KeyCode=H, e.KeyValue=72)
08:42:04.193 : RiddleForm_KeyDown(e.KeyCode=O, e.KeyValue=79)
08:42:10.755 : After Run
08:44:22.481 : RiddleForm_KeyDown(e.KeyCode=N, e.KeyValue=78)
08:44:28.613 : After Run
